SubjectCode,Category,Type,Part,Weight,Completion Criteria,Duration,CLO,Question Type,No Question,Knowledge and Skill,Grading Guide,Note
EXE101,Group Assignment 2 (Checkpoint 2),on- goin g,1,20.0%,5,10'-30',CLO3,Oral Presentation,-,,"- In class, by instructor- Identify the problem to be solved and analyze the market:. Servery group (> 100 people) or interview two experts in their industry.. The team presented market research results and analysis insights related to their business areas, including industry outlook, market size, trends, segments, key players, market share, product/service pricing.. The team presented the value proposition for their idea, market fit and compared it with competitors.",Instructor has resposibility to review the group's checkpoint 2 for students after grading.
EXE101,Group Assignment 3 (Checkpoint 3),on- goin g,1,15.0%,5,10'-30',CLO4,Oral Presentation,-,,- Product/service description:- Technology tools description- Canvas business model presentation.,Instructor has resposibility to review the group's checkpoint 3 for students after grading.
EXE101,Presentation (Checkp oint 4),on- goin g,1,40.0%,5,10'-30',CLO5,Oral Presentation,-,,"Build a preliminary pitch deck and present it.Graded by instructor and mentor.Marking criteria:- Team profile 10%- Product market fit 40%- Business model 20%- Operative 20%- Fundraising plan 10%Note: Students can ask the University for financial support for the implementing of their project. For this purpose, the group submit a funding estimation which will be examined and validated by the instructor and the mentor.",Instructor has resposibility to review the group's checkpoint 4 for students after grading.
PMG201c,PE,final exam,1,50.0%,4,120 phút,All LOs,,no info,All studied courses.,by Exam Board,Customized from the Assignment & Project Capstone of this specialization
PMG201c,TE,final exam,1,50.0%,4,60 phút,All LOs,Multiple choices. Marked by Computer or a suitable format,50,All studied courses.  Each module of course contributes 3-5 questions.,by Exam Board,Customized from the quizzes of this specialization
DSP391m,Report 1: Project Proposal,on-going,1,10.0%,>0,225',"CLO1, CLO2","Home work, class",1,"- cover chapter 1,2","homework, class, by instructor",
DSP391m,Report 2: Data Tasks [ Data Collection and Cleaning + Exploratory Data Analysis],on-going,1,20.0%,>0,225',"CLO3, CLO4","Home work, class",1,"- cover chapter 3,4","homework, class, by instructor",
DSP391m,Report 3: Model & Results[ Model Development + Model Evaluation and Fine-Tuning + Results Interpretation and Visualization + Conclusion and Recommendations],on-going,1,40.0%,>0,225',"CLO5, CLO6, CLO7, CLO8","Home work, class",1,"- cover chapter 5,6,7,8","homework, class, by instructor",
DSP391m,Report 4: Final Project Report,on-going,1,10.0%,>0,225',CLO9,"Home work, class",1,- cover chapter 9,"homework, class, by instructor",
DSP391m,Final exam[ Oral group presentatation],final exam,1,20.0%,4,30',CLO10,Oral Group Presentation,10,"- cover chapter 1, 2, 3,4,5,6,7,8,9,10","class, by instructor","- The final exam [oral group presentation] takes place in class, individually evaluated by one professor. Retakes are permissible, involving the submission of a revised final report and presentation, also evaluated by one professor.- The operation is operated by the Testing Department."
AIE301m,Assignment 1,on-going,1,5.0%,>0,60',CLO1 - 3,Group presentation (50%) and Personal task (50%),1,algorithms and labs 1-3,"in class, by group and personal presentations",Instructor has resposibility to review the presentation for students after graded.
AIE301m,Assignment 2,on-going,1,5.0%,>0,60',CLO5,Group presentation (50%) and Personal task (50%),1,algorithms and labs 4-6,"in class, by group and personal presentations",Instructor has resposibility to review the presentation for students after graded.
AIE301m,Assignment 3,on-going,1,5.0%,>0,60',CLO5 - 6,Group presentation (50%) and Personal task (50%),1,algorithms and labs 7-9,"in class, by group and personal presentations",Instructor has resposibility to review the presentation for students after graded.
AIE301m,Assignment 4,on-going,1,5.0%,>0,60',CLO9,Group presentation (50%) and Personal task (50%),1,algorithms and labs 10-12,"in class, by group and personal presentations",Instructor has resposibility to review the presentation for students after graded.
AIE301m,Progress test 1,on-going,1,10.0%,>0,20'-30',"CLO1, CLO2, CLO3",Multiple choicesMarked by Computer or a suitable format,25,"concepts (Introduction to Trading, Machine Learning & GCP), slides 1.1-1.4","in class, by instructor",Instruction and shedules for Progress tests must be presented in the  Course Implementation Plan approved by director of the campus.Progress test must be taken right after the last lectures of required material.Instructor has resposibility to review the test for students after graded.
AIE301m,Progress test 2,on-going,1,10.0%,>0,20'-30',"CLO4, CLO5, CLO6",Multiple choicesMarked by Computer or a suitable format,25,"concepts (Using Machine Learning in Trading and Finance), slides 2.1-2.4","in class, by instructor",Instruction and shedules for Progress tests must be presented in the  Course Implementation Plan approved by director of the campus.Progress test must be taken right after the last lectures of required material.Instructor has resposibility to review the test for students after graded.
AIE301m,Progress test 3,on-going,1,10.0%,>0,20'-30',"CLO7, CLO8, CLO9",Multiple choicesMarked by Computer or a suitable format,25,"concepts (Reinforcement Learning for Trading Strategies), slides 3.1-2.3","in class, by instructor",Instruction and shedules for Progress tests must be presented in the  Course Implementation Plan approved by director of the campus.Progress test must be taken right after the last lectures of required material.Instructor has resposibility to review the test for students after graded.
AIE301m,Final exam,final exam,1,50.0%,4,60',CLO1 - 9,Multiple choicesMarked by Computer or a suitable format,50,"concepts, algorithms;all studied slides and labs","by exam board,using computer",Instruction and schedule for Final Exam must be presented in the Course Implementation Plan approved by director of the campus.
AID301c,Final exam,final exam,1,100.0%,4,60',"CLO1, CLO2, CLO3, CLO4,CLO5",Multiple choicesMarked by Computer,50,All studied courses. Each module of course contributes 4-5 questions.,"by exam board,using computer",Customized from the quizzes of this specialization.1st Evaluation: For students who completed & got Coursera's specialization certificates (Option at week 7);2nd Evaluation: For students who completed & got Coursera's specialization certificates) at week 13;3rd Evaluation: For students who completed & got Coursera's specialization certificates) at week 14.
EXE201,Outcome 1,on- going,1,40.0%,>0,no-limit,CLO1,Product/service demonstration,1,,"- In class, by instructor- Students demonstrate the product/service to the class- Product/service should run well and be market- ready","See rubric at Material link (Schedule sheet, line1)Instructor has resposibility to review the group's demonstration for students."
EXE201,Outcome 2,on- going,1,20.0%,>0,no-limit,CLO2,Presentation,1,,"- In class, by instructor- Students need to submit the required document, and do a presentation in class","See rubric at Material link (Schedule sheet, line1)Instructor has resposibility to review the group's presentation for students."
EXE201,Outcome 3,on- going,1,40.0%,4,no-limit,"CLO3, CLO4",Reports,1,,"- In class, by instructor and mentor- Students need to submit the sales results along with all needed proof to the instructor- Students will present their result in class","See rubric at Material link (Schedule sheet, line1)Instructor has resposibility to review the group's presentation for students after graded."
MLN111,Assignment,on-going,1,30.0%,>0,45',"LO1, LO2, LO3, LO4, LO5, LO6, LO7, LO8",,N/A,"Kiến thức và kỹ năng trong phạm vi chương 2,3Cover chapter 2, 3","OP1:Thuyết trình theo nhóm, nộp lại file báo cáo của nhóm trên LMSPresented by groups and hand in group's work on LMSOP2: (For Constructivism Approach only): Follow lecturer's proposal",Giảng viên có thể gợi ý các chủ đề cho sinh viênLecturer can suggest topics for students
MLN111,Participation,on-going,1,10.0%,>0,,"LO1, LO2, LO3, LO4, LO5, LO6, LO7, LO8",OP1: Follow Syllabus // OP2: (For Constructivism Approach only): Follow lecturer's proposal,N/A,,Trong lớp họcin class,Sinh viên vắng không quá 20%Absent no more than 20% of class hours
MLN111,Progress tests,on-going,2,30.0%,>0,20',"LO1, LO2, LO3, LO4, LO5, LO6, LO7, LO8","OP1: Câu hỏi trắc nghiệm dạng đúng sai, câu hỏi trắc nghiệm dạng nhiều lựa chọn.Yes-no questions, Multiple choice questions // OP2: OP2: (For Constructivism Approach only): Follow lecturer's proposal",20- 25,"- Test 1: Kiến thức trong phạm vi chương 1,2 (LO1,LO2,LO4,LO5,LO6,LO7,LO8)- Test 2: Kiến thức trong phạm vi chương 3 (LO3,LO4,LO5,LO6,LO7,LO8)- Test 1: cover chapter 1,2 (LO1,LO2,LO4,LO5,LO6,LO7,LO8)- Test 2: cover chapter 3 (LO3,LO4,LO5,LO6,LO7,LO8)",Trong lớp họcin class,Sinh viên không được sử dụng tài liệu.Students are not allowed to use materials.
MLN111,Final exam,final exam,1,30.0%,4,60',LO1-L08,"Câu hỏi trắc nghiệm dạng đúng sai, câu hỏi trắc nghiệm dạng nhiều lựa chọn.Yes-no questions, Multiple choice questions",60,"Tất cả 3 chương (chương 1: 10 câu,chương 2: 20 câu,chương 3: 30 câu)All 3 chapters included (Chapter 1: 10 questions, chapter 2: 20 questions, chapter 3: 3 questions",Phòng Khảo thí tổ chứcby Office of Assessment,Sinh viên không được sử dụng tài liệu.Students are not allowed to use materials.
MLN122,Assignment,on-going,1,30.0%,>0,45',"LO1, LO2, LO3, LO4, LO5, LO6, LO7, LO8, LO9",OP1: Bài thuyết trình Presentation // OP2: (For Constructivism Approach only): Follow lecturer's proposal,1 chủ đề/ 1 nhóm1 topic/1 group,"Kiến thức và kỹ năng trong phạm vi chương 2, 3, 4, 5, 6Cover chapter 2, 3, 4, 5, 6","Thuyết trình theo nhóm, nộp lại file báo cáo của nhóm trên LMSPresented by groups and hand in group's work on LMS",Giảng viên có thể gợi ý các chủ đề cho sinh viênLecturer can suggest topics for students
MLN122,Participation,on-going,1,10.0%,>0,,"LO1, LO2, LO3, LO4, LO5, LO6, LO7, LO8, LO9",OP1: Follow Syllabus // OP2: (For Constructivism Approach only): Follow lecturer's proposal,N/A,,Trong lớp học,Sinh viên vắng không quá 20%Absent no more than 20% of class hours
MLN122,Progress tests,on-going,2,30.0%,>0,20',"LO1, LO2, LO3, LO4, LO5, LO6, LO7, LO8, LO9","OP1: Câu hỏi trắc nghiệm dạng đúng sai, câu hỏi trắc nghiệm dạng nhiều lựa chọn.Yes-no questions, Multiple choice questions // OP2: (For Constructivism Approach only): Follow lecturer's proposal.",20- 25,"- Test 1: Kiến thức trong phạm vi chương 1, 2, 3 ( LO1, LO2, LO6, LO7, LO8, LO9)- Test 2: Kiến thức trong phạm vi chương 4, 5 (LO3, LO4, LO6, LO7, LO8, LO9)- Test 1: cover chapter 1, 2, 3 ( LO1, LO2, LO6, LO7, LO8, LO9)- Test 2: cover chapter  4, 5 (LO3, LO4, LO6, LO7, LO8, LO9)",Trong lớp họcin class,Sinh viên không được sử dụng tài liệu.Students are not allowed to use materials.
MLN122,Final exam,final exam,1,30.0%,4,60',"LO1, LO2, LO3, LO4, LO5, LO6, LO7, LO8, LO9","Câu hỏi trắc nghiệm dạng đúng sai, câu hỏi trắc nghiệm dạng nhiều lựa chọn.Yes-no questions, Multiple choice questions",60,"Tất cả 6 chương (Chương 1: 5 câu, chương 2: 10 câu, chương 3: 10 câu, chương 4: 10 câu, chương 5: 10 câu, chương 6: 15 câu)All 6 chapters included (Chapter 1: 5 questions, chapter 2: 10 questions, chapter 3: 10 questions, chapter 4: 10 questions, chapter 5: 10 questions, chapter 6: 15 questions)",Phòng Khảo thí tổ chứcby Office of Assessment,Sinh viên không được sử dụng tài liệu.Students are not allowed to use materials.
REL301m,Assignment,on-going,1,30.0%,>0,2 weeks,"CLO1, CLO2, CLO3, CLO4, CLO5, CLO6, CLO7",Mini project,1,"- cover chapter 1, 2, 3",at home,Instructor has resposibility to review the test for students after graded.
REL301m,Lab1,on-going,1,10.0%,>0,225',"CLO1, CLO2","Home work, class",1,- cover chapter 1,"in class, by instructor",Instructor has resposibility to review the test for students after graded.
REL301m,lab2,on-going,1,10.0%,>0,225',"CLO3, CLO4","Home work, class",1,- cover chapter 2,"in class, by instructor",Instructor has resposibility to review the test for students after graded.
REL301m,lab3,on-going,1,10.0%,>0,225',"CLO5, CLO6","Home work, class",1,- cover chapter 3,"in class, by instructor",Instructor has resposibility to review the test for students after graded.
REL301m,Progress test,on-going,1,10.0%,>0,45',"CLO1, CLO2, CLO3, CLO4, CLO5, CLO6",Multiple choicesMarked by Computer or a suitable format,30,"- cover chapter 1,2,3","in class, by instructor",Instruction and shedules for Progress tests must be presented in the  Course Implementation Plan approved by director of the campus.Progress test must be taken right after the last lectures of required material.Instructor has resposibility to review the test for students after graded.
REL301m,Final exam,final exam,1,30.0%,4,60',"CLO1, CLO2, CLO3, CLO4, CLO5, CLO6, CLO7",Multiple choicesMarked by Computer,50,"- cover chapter 1, 2, 3","by exam board,using computer",The exam questions must be updated or different at least 70% to the previous ones.
AIP491,On-going Assessment,on-going,6,50.0%,5,During the CP Progress,All CLOs,Report,,"AI, Project management, Research, Teamwork",On-going Assessment (OGA):- Project Introduction (Report 1): 10%- Project Management Plan (Report 2): 10%- Existing systems (Report 3): 10%- Methodology (Report 4): 35%- System Design (Report 5): 20%- Results/Discussion & Conclusion (Report 6 & 7): 15%,"- Require grade >=2 for each part.- Based on the schedule in the syllabus, each group report will be evaluated by the supervisor. This evaluation is called progress assessment.- Individual mark for each progress assessment report is decided by the supervisor and is assessed on the basis of the actual contribution by that individual to the group report. The individual mark can be lower or higher than the group mark and is in the range from 0% to 120% of the group mark where the average score of group members cannot be more than group mark."
AIP491,Final Project Presentation,final exam,1,50.0%,4,90 minutes for each group,All CLOs,,,"AI, Project management, Research, Teamwork, Presentation",- Project Introduction: 5%- Project Management Plan: 5%- Existing Systems: 5%- Methodology: 35%- System Design & Implementation: 20%- Resullts/Discussion & Conclusion: 15%- Presentation Skills: 5%- Q&A: 10%,- One or more specific members of the student team is not allowed to join the thesis defense (and therefore being failed the subject) if he/she has OGA less than 5.- Capstone project defense mark is given by each member of referee committee for each student on capstone project defense. This personal mark is the average of all member of referee committee.- Each student must make his or her own presentation.- Presentation mark is given by each member of defence committee for each student on final project presentation. Personal mark is the average of all marks given by members of defence committee.
EXE401,Final written thesis by supervisor,on-going,1,20.0%,>0,According to deadlines by the Academics Department,"LO1,2,3,4",Written business portfolio. Cf. course guide,,"Combination of all relevant major requirement, academic writting skills with required format",1. Marked by Supervisor (cf the Subject's Guide)2. The mark is given to the project group,
EXE401,Participation,on-going,1,10.0%,>0,All the course,LO5,,,,1. Marked by Supervisor (cf the Subject's Guide)2. The mark is given to each student individually based on their individual and group work,
EXE401,Results inherited from EXE201,on-going,1,20.0%,>0,,"LO1,2,3,4,5",,,,The mark of EXE201,
EXE401,Final written thesis by evaluation commitee,final exam,1,30.0%,4,According to deadlines by the Academics Department,"LO1,2,3,4",Written business portfolio. Cf. course guide,,"Combination of all relevant major requirement, academic writting skills with required format","1. Marked by each of board's members, based on the rubrics (cf the Subject's Guide)2. The mark is given to the project group3. The mark is the average of board members mark",
EXE401,Oral defense,final exam,1,20.0%,4,45 minutes presentation and demonstration + 45 minutes Q&A for each group,"LO1,2,3,4,5",Oral thesis defense,Presentation of the startup project with required format,"Combination of all relevant acquired knowledge, project feasibility and presentation skills","1. Oral defense language: English2. Marked by each of board's members, based on the rubrics (cf the Subject's Guide)3. The mark is given to each student individually.4. The mark is the average of board members mark",
HCM202,Assignment,on-going,1,30.0%,>0,45',LO1-L10,OP1: Bài thuyết trình Presentation // OP2: (For Constructivism Approach only): Follow lecturer's proposal,1 chủ đề/ 1 nhóm1 topic/ 1 group,"Kiến thức và kỹ năng trong phạm vi chương 2,3, 4, 5, 6Cover chapter 2,3, 4, 5, 6","Thuyết trình theo nhóm, nộp lại file báo cáo của nhóm trên LMSPresented by groups and hand in group's work on LMS",Giảng viên có thể gợi ý các chủ đề cho sinh viênLecturer can suggest topics for students
HCM202,Participation,on-going,1,10.0%,>0,,LO1-L10,,,,Trong lớp họcin class,Sinh viên vắng không quá 20%Absent no more than 20% of class hours
HCM202,Progress tests,on-going,2,30.0%,>0,20',LO1-L10,"Câu hỏi trắc nghiệm dạng đúng sai, câu hỏi trắc nghiệm dạng nhiều lựa chọn.Yes-no questions, Multiple choice questions",20- 25,"- Test 1: Kiến thức trong phạm vi chương 1, 2, 3 (LO1, LO2,LO3, LO4, LO5, LO6, LO7, LO8, LO9, LO10)- Test 2: Kiến thức trong phạm vi chương 4, 5 (LO3, LO4, LO6, LO7, LO8, LO9, LO10)- Test 1: cover chapter 1, 2, 3 (LO1, LO2,LO3, LO4, LO5, LO6, LO7, LO8, LO9, LO10)- Test 2: cover chapter 4, 5 (LO3, LO4, LO6, LO7, LO8, LO9, LO10)",Trong lớp họcin class,Sinh viên không được sử dụng tài liệu.Students are not allowed to use materials.
HCM202,Final exam,final exam,1,30.0%,4,60',LO1-L10,"Câu hỏi trắc nghiệm dạng đúng sai, câu hỏi trắc nghiệm dạng nhiều lựa chọn.Yes-no questions, Multiple choice questions",60,"Tất cả 6 chương (Chương 1: 5 câu, chương 2:10 câu, chương 3: 10 câu, chương 4: 10 câu, chương 5: 10 câu, chương 6: 15 câu)All 6 chapters included (Chapter 1: 5 questions, chapter 2: 10 questions, chapter 3: 10 questions, chapter 4: 10 questions, chapter 5: 10 questions, chapter 6: 15 questions)",Phòng Khảo thí tổ chứcby Office of Assessment,Sinh viên không được sử dụng tài liệu.Students are not allowed to use materials.
MLN131,Assignment,on-going,1,30.0%,>0,45',LO1-L09,OP1: Bài thuyết trình Presentation // OP2: (For Constructivism Approach only): Follow lecturer's proposal,N/A,"Kiến thức và kỹ năng trong phạm vi chương 2,3,4,5,6,7Cover chapter 2,3,4,5,6,7","Thuyết trình theo nhóm, nộp lại file báo cáo của nhóm trên LMSPresented by groups and hand in group's work on LMSKiến tạo XH tính vào thành phần điểm này.Social constructivism applies to this grading component.",Giảng viên có thể gợi ý các chủ đề cho sinh viênLecturer can suggest topics for students
MLN131,Participation,on-going,1,10.0%,>0,,LO1-L09,,,,Trong lớp họcin class,Sinh viên vắng không quá 20%Absent no more than 20% of class hours
MLN131,Progress tests,on-going,2,30.0%,>0,20',LO1-L09,"Câu hỏi trắc nghiệm dạng đúng sai, câu hỏi trắc nghiệm dạng nhiều lựa chọn.Yes-no questions, Multiple choice questions",20- 25,"- Test 1: Kiến thức trong phạm vi chương 1,2,3,4 (LO1,LO2,LO3,LO4,LO8,LO9)- Test 2: Kiến thức trong phạm vi chương 5, 6(LO5, LO6, LO8, LO9)- Test 1: cover chapter 1, 2, 3, 4 (LO1, LO2, LO3, LO4, LO8, LO9)- Test 2: cover chapter 5,6 (LO5, LO6, LO8, LO9)",Trong lớp họcin class,Sinh viên không được sử dụng tài liệu.Students are not allowed to use materials.
MLN131,Final exam,final exam,1,30.0%,4,60',LO1-L09,"Câu hỏi trắc nghiệm dạng đúng sai, câu hỏi trắc nghiệm dạng nhiều lựa chọn.Yes-no questions, Multiple choice questions",60,"Tất cả 7 chương (chương 1: 5 câu, chương 2: 5 câu, chương 3: 10 câu, chương 4: 10 câu, chương 5: 10 câu, chương 6: 10 câu, chương 7: 10 câu)All 7 chapters included (Chapter 1: 5 questions, chapter 2: 5 questions, chapter 3: 10 questions, chapter 4: 10 questions, chapter 5: 10 questions, chapter 6: 10 questions, chapter 7: 10 questions)",Phòng Khảo thí tổ chứcby Office of Assessment,Sinh viên không được sử dụng tài liệu.Students are not allowed to use materials.
VNR202,Assignment,on-going,1,30.0%,>0,45',LO1-L9,OP1: Bài thuyết trình Presentation // OP2: (For Constructivism Approach only): Follow lecturer's proposal,1 chủ đề/ 1 nhóm1 topic/ 1 group,"Kiến thức và kỹ năng trong phạm vi chương mở 1,2,3Cover chapter 1, 2,3","Thuyết trình theo nhóm, nộp lại file báo cáo của nhóm trên LMSPresented by groups and hand in group's work on LMS",Giảng viên có thể gợi ý các chủ đề cho sinh viênLecturer can suggest topics for students
VNR202,Participation,on-going,1,10.0%,>0,,LO1-L9,,,,Trong lớp họcin class,Sinh viên vắng không quá 20%Absent no more than 20% of class hours
VNR202,Progress tests,on-going,2,30.0%,>0,20',LO1-L9,"Câu hỏi trắc nghiệm dạng đúng sai, câu hỏi trắc nghiệm dạng nhiều lựa chọn.Yes-no questions, Multiple choice questions",20- 25,"- Test 1: Kiến thức trong phạm vi chương mở đầu, chương  1 (LO1, LO2, LO4, LO5, LO6, LO7, LO8, LO9)- Test 2: Kiến thức trong phạm vi chương 2 (LO2, LO4, LO5, LO6, LO7, LO8, LO9, LO10)- Test 1: cover introductory chapter,  chapter 1  (LO1, LO2, LO4, LO5, LO6, LO7, LO8, LO9)- Test 2: cover chapter 2 (LO2, LO4, LO5, LO6, LO7, LO8, LO9, LO10)",Trong lớp họcin class,Sinh viên không được sử dụng tài liệu.Students are not allowed to use materials.
VNR202,Final exam,final exam,1,30.0%,4,60',LO1-L9,"Câu hỏi trắc nghiệm dạng đúng sai, câu hỏi trắc nghiệm dạng nhiều lựa chọn.Yes-no questions, Multiple choice questions",60,"Tất cả 3 chương (Chương 1: 20 câu, chương 2: 20 câu, chương 3: 20 câu)All 3 chapters included (Chapter 1: 20 questions, chapter 2: 20 questions, chapter 3: 20 questions)",Phòng Khảo thí tổ chứcby Office of Assessment,Sinh viên không được sử dụng tài liệu.Students are not allowed to use materials.
